Title,Biostimulant type,,filter_name
AminoHort,Protein hydrolysate,AminoHort,Increased other
Acadian,Seaweed extract,Acadian,Increased phosphorous P use efficiency
Actiwave,Seaweed extract,Actiwave,Increased phosphorous P use efficiency
AgBio-Endos,Mycorrhizal fungi,AgBio-Endos,Increased phosphorous P use efficiency
AM 120,Mycorrhizal fungi,AM 120,Increased phosphorous P use efficiency
BEI,Mycorrhizal fungi,BEI,Increased phosphorous P use efficiency
BioGrow Endo,Mycorrhizal fungi,BioGrow Endo,Increased phosphorous P use efficiency
Cease,Bacteria,Cease,Increased phosphorous P use efficiency
DieHard Endo,Mycorrhizal fungi,DieHard Endo,Increased phosphorous P use efficiency
Fulvagra,Mix of different types,Fulvagra,Increased phosphorous P use efficiency
Humifirst,Humic and fluvic acids,Humifirst,Increased phosphorous P use efficiency
Actiwave,Seaweed extract,Actiwave,Increased potassium K use efficiency
Biopost,Seaweed extract,Biopost,Increased potassium K use efficiency
Cease,Bacteria,Cease,Increased potassium K use efficiency
Diehard Complete,Mix of different types,Diehard Complete,Increased potassium K use efficiency
Fulvagra,Mix of different types,Fulvagra,Increased potassium K use efficiency
Humifirst,Humic and fluvic acids,Humifirst,Increased potassium K use efficiency
Huminbio Microsense Seed,Mix of different types,Huminbio Microsense Seed,Increased potassium K use efficiency
Kelpak,Seaweed extract,Kelpak,Increased potassium K use efficiency
Megafol,Mix of different types,Megafol,Increased potassium K use efficiency
MC-Extra,Seaweed extract,MC-Extra,Increased potassium K use efficiency
Acadian,Seaweed extract,Acadian,Increased produce quality
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Increased produce quality
Actiwave,Seaweed extract,Actiwave,Increased produce quality
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Increased produce quality
AgBio-Endos,Mycorrhizal fungi,AgBio-Endos,Increased produce quality
Agro-Lig,Humic and fluvic acids,Agro-Lig,Increased produce quality
Alga,Seaweed extract,Alga,Increased produce quality
Alga K Plus,Mix of different types,Alga K Plus,Increased produce quality
AlgaeGreen,Seaweed extract,AlgaeGreen,Increased produce quality
AlgaminoPlant,Seaweed extract,AlgaminoPlant,Increased produce quality
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Increased salt stress tolerance
Actiwave,Seaweed extract,Actiwave,Increased salt stress tolerance
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Increased salt stress tolerance
Agro-Lig,Humic and fluvic acids,Agro-Lig,Increased salt stress tolerance
APR,Protein hydrolysate,APR,Increased salt stress tolerance
Asir Horto,Mix of different types,Asir Horto,Increased salt stress tolerance
Balox,Chitosan & biopolymers,Balox,Increased salt stress tolerance
Click Horto,Mycorrhizal fungi,Click Horto,Increased salt stress tolerance
Ecolicitor,Seaweed extract,Ecolicitor,Increased salt stress tolerance
EZ-Gro Chitosan,Chitosan & biopolymers,EZ-Gro Chitosan,Increased salt stress tolerance
Acadian,Seaweed extract,Acadian,Increased water use efficiency
Algastar,Seaweed extract,Algastar,Increased water use efficiency
Cradle,Mycorrhizal fungi,Cradle,Increased water use efficiency
Hydromaat,Bacteria,Hydromaat,Increased water use efficiency
Kelpstar,Seaweed extract,Kelpstar,Increased water use efficiency
Mobilizer,Mix of different types,Mobilizer,Increased water use efficiency
MycoUp,Mycorrhizal fungi,MycoUp,Increased water use efficiency
Nanozim,Mix of different types,Nanozim,Increased water use efficiency
Niger L,Humic and fluvic acids,Niger L,Increased water use efficiency
Serenade ASO,Bacteria,Serenade ASO,Increased water use efficiency
Actiwave,Seaweed extract,Actiwave,Increased yield
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Increased yield
AgriAlgae Biologico Original,Other,AgriAlgae Biologico Original,Increased yield
Algastar,Seaweed extract,Algastar,Increased yield
Basfoliar Kelp SL,Seaweed extract,Basfoliar Kelp SL,Increased yield
Begreen,Plant extract,Begreen,Increased yield
Bio Algeen,Seaweed extract,Bio Algeen,Increased yield
Bio-algeen,Seaweed extract,Bio-algeen,Increased yield
BioUp T.F.,Plant extract,BioUp T.F.,Increased yield
Calleaf Aminovital,Protein hydrolysate,Calleaf Aminovital,Increased yield
Kelpak,Seaweed extract,Kelpak,No effect on cold stress tolerance
Siapton,Protein hydrolysate,Siapton,No effect on cold stress tolerance
Amalgerol,Mix of different types,Amalgerol,No effect on drought stress tolerance
Aphasol,Protein hydrolysate,Aphasol,No effect on drought stress tolerance
BaktoKompleks,Bacteria,BaktoKompleks,No effect on drought stress tolerance
BioAtlantis,Seaweed extract,BioAtlantis,No effect on drought stress tolerance
Biomega,Bacteria,Biomega,No effect on drought stress tolerance
Blue-N,Bacteria,Blue-N,No effect on drought stress tolerance
ComCat,Plant extract,ComCat,No effect on drought stress tolerance
CycoFlow,Protein hydrolysate,CycoFlow,No effect on drought stress tolerance
EKOprop,Mix of different types,EKOprop,No effect on drought stress tolerance
Fitoalgas Green,Seaweed extract,Fitoalgas Green,No effect on drought stress tolerance
AMF,Mycorrhizal fungi,AMF,No effect on growth
Atonik / Chapperone / Asahi SL,Other,Atonik / Chapperone / Asahi SL,No effect on growth
Bio Algeen,Seaweed extract,Bio Algeen,No effect on growth
Bio-algeen,Seaweed extract,Bio-algeen,No effect on growth
BioAtlantis,Seaweed extract,BioAtlantis,No effect on growth
Kelpak,Seaweed extract,Kelpak,No effect on growth
Nov@,Plant extract,Nov@,No effect on growth
Nutricin,Mix of different types,Nutricin,No effect on growth
Phylgreen,Seaweed extract,Phylgreen,No effect on growth
Delfan Plus V,Mix of different types,Delfan Plus V,No effect on growth
CycoFlow,Protein hydrolysate,CycoFlow,No effect on heat stress tolerance
BioGenesis I NP,Mix of different types,BioGenesis I NP,No effect on micronutrient use efficiency
Bio-YIELD,Bacteria,Bio-YIELD,No effect on micronutrient use efficiency
Calleaf Aminovital,Protein hydrolysate,Calleaf Aminovital,No effect on micronutrient use efficiency
Cease,Bacteria,Cease,No effect on micronutrient use efficiency
ComCat,Plant extract,ComCat,No effect on micronutrient use efficiency
EcoFlora,Bacteria,EcoFlora,No effect on micronutrient use efficiency
Environoc 401,Bacteria,Environoc 401,No effect on micronutrient use efficiency
Maximus Amino Protect,Mix of different types,Maximus Amino Protect,No effect on micronutrient use efficiency
MycoApply EndoMaxx,Mycorrhizal fungi,MycoApply EndoMaxx,No effect on micronutrient use efficiency
Nature's source,Bacteria,Nature's source,No effect on micronutrient use efficiency
BioAtlantis,Seaweed extract,BioAtlantis,No effect on nitrogen N use efficiency
BioGenesis I NP,Mix of different types,BioGenesis I NP,No effect on nitrogen N use efficiency
Bio-YIELD,Bacteria,Bio-YIELD,No effect on nitrogen N use efficiency
Cease,Bacteria,Cease,No effect on nitrogen N use efficiency
CycoFlow,Protein hydrolysate,CycoFlow,No effect on nitrogen N use efficiency
EcoFlora,Bacteria,EcoFlora,No effect on nitrogen N use efficiency
Elorisan-MA,Mix of different types,Elorisan-MA,No effect on nitrogen N use efficiency
Environoc 401,Bacteria,Environoc 401,No effect on nitrogen N use efficiency
Fert Peixe,Data not available,Fert Peixe,No effect on nitrogen N use efficiency
Glutacetine,Other,Glutacetine,No effect on nitrogen N use efficiency
BEI,Mycorrhizal fungi,BEI,No effect on nutrient availability in soil or substrate
Bio Forge,Data not available,Bio Forge,No effect on nutrient availability in soil or substrate
BioAtlantis,Seaweed extract,BioAtlantis,No effect on nutrient availability in soil or substrate
Biomin,Protein hydrolysate,Biomin,No effect on nutrient availability in soil or substrate
ComCat,Plant extract,ComCat,No effect on nutrient availability in soil or substrate
Humacare,Humic and fluvic acids,Humacare,No effect on nutrient availability in soil or substrate
Humiplus,Humic and fluvic acids,Humiplus,No effect on nutrient availability in soil or substrate
Kelpak,Seaweed extract,Kelpak,No effect on nutrient availability in soil or substrate
SeamelPure,Seaweed extract,SeamelPure,No effect on nutrient availability in soil or substrate
Acadian,Seaweed extract,Acadian,No effect on other
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,No effect on other
AgBio-Endos,Mycorrhizal fungi,AgBio-Endos,No effect on other
Alginure,Seaweed extract,Alginure,No effect on other
AM 120,Mycorrhizal fungi,AM 120,No effect on other
Amino Expert Impuls,Protein hydrolysate,Amino Expert Impuls,No effect on other
ArgicinPlus,Mix of different types,ArgicinPlus,No effect on other
Astron,Other,Astron,No effect on other
Atonik / Chapperone / Asahi SL,Other,Atonik / Chapperone / Asahi SL,No effect on other
BACTOFIL,Bacteria,BACTOFIL,No effect on other
BEI,Mycorrhizal fungi,BEI,No effect on phosphorous P use efficiency
BioGenesis I NP,Mix of different types,BioGenesis I NP,No effect on phosphorous P use efficiency
Bio-YIELD,Bacteria,Bio-YIELD,No effect on phosphorous P use efficiency
Cease,Bacteria,Cease,No effect on phosphorous P use efficiency
EcoFlora,Bacteria,EcoFlora,No effect on phosphorous P use efficiency
Environoc 401,Bacteria,Environoc 401,No effect on phosphorous P use efficiency
Essential,Mix of different types,Essential,No effect on phosphorous P use efficiency
Humifirst,Humic and fluvic acids,Humifirst,No effect on phosphorous P use efficiency
MycoApply EndoMaxx,Mycorrhizal fungi,MycoApply EndoMaxx,No effect on phosphorous P use efficiency
Nature's source,Bacteria,Nature's source,No effect on phosphorous P use efficiency
BioGenesis I NP,Mix of different types,BioGenesis I NP,No effect on potassium K use efficiency
Bio-YIELD,Bacteria,Bio-YIELD,No effect on potassium K use efficiency
Cease,Bacteria,Cease,No effect on potassium K use efficiency
EcoFlora,Bacteria,EcoFlora,No effect on potassium K use efficiency
Environoc 401,Bacteria,Environoc 401,No effect on potassium K use efficiency
GroZyme,Other,GroZyme,No effect on potassium K use efficiency
Humifirst,Humic and fluvic acids,Humifirst,No effect on potassium K use efficiency
Megafol,Mix of different types,Megafol,No effect on potassium K use efficiency
MycoApply EndoMaxx,Mycorrhizal fungi,MycoApply EndoMaxx,No effect on potassium K use efficiency
Nature's source,Bacteria,Nature's source,No effect on potassium K use efficiency
Acadian,Seaweed extract,Acadian,No effect on produce quality
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,No effect on produce quality
Actiwave,Seaweed extract,Actiwave,No effect on produce quality
Alga,Seaweed extract,Alga,No effect on produce quality
AlgaeGreen,Seaweed extract,AlgaeGreen,No effect on produce quality
Algavis,Seaweed extract,Algavis,No effect on produce quality
Alginure,Seaweed extract,Alginure,No effect on produce quality
Amalgerol,Mix of different types,Amalgerol,No effect on produce quality
AMF,Mycorrhizal fungi,AMF,No effect on produce quality
Aminoflor,Protein hydrolysate,Aminoflor,No effect on produce quality
Delfan Plus,Protein hydrolysate,Delfan Plus,No effect on salt stress tolerance
EZ-Gro Chitosan,Chitosan & biopolymers,EZ-Gro Chitosan,No effect on salt stress tolerance
Kelpak,Seaweed extract,Kelpak,No effect on salt stress tolerance
MycoGrowth,Bacteria,MycoGrowth,No effect on salt stress tolerance
Nutri-Stim Triacontanol,Plant extract,Nutri-Stim Triacontanol,No effect on salt stress tolerance
Organic BamBoo Power BBP No.11,Plant extract,Organic BamBoo Power BBP No.11,No effect on salt stress tolerance
Wollastonite,"Anorganic elements Si, Phosphite",Wollastonite,No effect on salt stress tolerance
BioAtlantis,Seaweed extract,BioAtlantis,No effect on water use efficiency
Bio-F,Seaweed extract,Bio-F,No effect on water use efficiency
Kelpak,Seaweed extract,Kelpak,No effect on water use efficiency
Leafamine,Protein hydrolysate,Leafamine,No effect on water use efficiency
Phylgreen,Seaweed extract,Phylgreen,No effect on water use efficiency
SeamelPure,Seaweed extract,SeamelPure,No effect on water use efficiency
TNC BactorrS13,Mix of different types,TNC BactorrS13,No effect on water use efficiency
Expando,Mix of different types,Expando,No effect on yield
Naturamin WSP,Protein hydrolysate,Naturamin WSP,No effect on yield
ProAct,Protein hydrolysate,ProAct,No effect on yield
Stimplex,Seaweed extract,Stimplex,No effect on yield
4-Vita,Plant extract,4-Vita,Bacteria
Abies,Plant extract,Abies,Bacteria
Acadian,Seaweed extract,Acadian,Bacteria
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Bacteria
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Bacteria
Actiwave,Seaweed extract,Actiwave,Bacteria
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Bacteria
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Bacteria
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Bacteria
Afital K,"Anorganic elements Si, Phosphite",Afital K,Bacteria
4-Vita,Plant extract,4-Vita,Humic and fluvic acids
Abies,Plant extract,Abies,Humic and fluvic acids
Acadian,Seaweed extract,Acadian,Humic and fluvic acids
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Humic and fluvic acids
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Humic and fluvic acids
Actiwave,Seaweed extract,Actiwave,Humic and fluvic acids
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Humic and fluvic acids
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Humic and fluvic acids
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Humic and fluvic acids
Afital K,"Anorganic elements Si, Phosphite",Afital K,Humic and fluvic acids
4-Vita,Plant extract,4-Vita,Mix of different types
Abies,Plant extract,Abies,Mix of different types
Acadian,Seaweed extract,Acadian,Mix of different types
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Mix of different types
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Mix of different types
Actiwave,Seaweed extract,Actiwave,Mix of different types
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Mix of different types
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Mix of different types
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Mix of different types
Afital K,"Anorganic elements Si, Phosphite",Afital K,Mix of different types
4-Vita,Plant extract,4-Vita,Mycorrhizal fungi
Abies,Plant extract,Abies,Mycorrhizal fungi
Acadian,Seaweed extract,Acadian,Mycorrhizal fungi
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Mycorrhizal fungi
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Mycorrhizal fungi
Actiwave,Seaweed extract,Actiwave,Mycorrhizal fungi
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Mycorrhizal fungi
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Mycorrhizal fungi
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Mycorrhizal fungi
Afital K,"Anorganic elements Si, Phosphite",Afital K,Mycorrhizal fungi
4-Vita,Plant extract,4-Vita,Nonmycorrhizal fungi
Abies,Plant extract,Abies,Nonmycorrhizal fungi
Acadian,Seaweed extract,Acadian,Nonmycorrhizal fungi
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Nonmycorrhizal fungi
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Nonmycorrhizal fungi
Actiwave,Seaweed extract,Actiwave,Nonmycorrhizal fungi
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Nonmycorrhizal fungi
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Nonmycorrhizal fungi
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Nonmycorrhizal fungi
Afital K,"Anorganic elements Si, Phosphite",Afital K,Nonmycorrhizal fungi
4-Vita,Plant extract,4-Vita,Seaweed extract
Abies,Plant extract,Abies,Seaweed extract
Acadian,Seaweed extract,Acadian,Seaweed extract
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Seaweed extract
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Seaweed extract
Actiwave,Seaweed extract,Actiwave,Seaweed extract
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Seaweed extract
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Seaweed extract
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Seaweed extract
Afital K,"Anorganic elements Si, Phosphite",Afital K,Seaweed extract
4-Vita,Plant extract,4-Vita,Annuals
Abies,Plant extract,Abies,Annuals
Acadian,Seaweed extract,Acadian,Annuals
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Annuals
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Annuals
Actiwave,Seaweed extract,Actiwave,Annuals
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Annuals
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Annuals
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Annuals
Afital K,"Anorganic elements Si, Phosphite",Afital K,Annuals
4-Vita,Plant extract,4-Vita,Berries and small fruits
Abies,Plant extract,Abies,Berries and small fruits
Acadian,Seaweed extract,Acadian,Berries and small fruits
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Berries and small fruits
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Berries and small fruits
Actiwave,Seaweed extract,Actiwave,Berries and small fruits
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Berries and small fruits
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Berries and small fruits
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Berries and small fruits
Afital K,"Anorganic elements Si, Phosphite",Afital K,Berries and small fruits
4-Vita,Plant extract,4-Vita,Bulb ornamentals
Abies,Plant extract,Abies,Bulb ornamentals
Acadian,Seaweed extract,Acadian,Bulb ornamentals
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Bulb ornamentals
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Bulb ornamentals
Actiwave,Seaweed extract,Actiwave,Bulb ornamentals
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Bulb ornamentals
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Bulb ornamentals
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Bulb ornamentals
Afital K,"Anorganic elements Si, Phosphite",Afital K,Bulb ornamentals
4-Vita,Plant extract,4-Vita,Cabbage
Abies,Plant extract,Abies,Cabbage
Acadian,Seaweed extract,Acadian,Cabbage
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Cabbage
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Cabbage
Actiwave,Seaweed extract,Actiwave,Cabbage
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Cabbage
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Cabbage
Aegis Micro-granule,Bacteria,Aegis Micro-granule,Cabbage
Afital K,"Anorganic elements Si, Phosphite",Afital K,Cabbage
4-Vita,Plant extract,4-Vita,Cereals
Abies,Plant extract,Abies,Cereals
Acadian,Seaweed extract,Acadian,Cereals
Acker-Schachtelhalm extract,Plant extract,Acker-Schachtelhalm extract,Cereals
ACTIV 0-0-5,Seaweed extract,ACTIV 0-0-5,Cereals
Actiwave,Seaweed extract,Actiwave,Cereals
AdeSil,"Anorganic elements Si, Phosphite",AdeSil,Cereals
Aegis Argilla,Mycorrhizal fungi,Aegis Argilla,Cereals
